@relation P2BotAgent

@attribute mergeObsZZ_5_10 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_5_11 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_5_12 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_6_10 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_6_11 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_6_12 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_7_10 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_7_11 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_7_12 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_8_10 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_8_11 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_8_12 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_9_10 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_9_11 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute mergeObsZZ_9_12 {-85,-24,-60,-62,0,2,3,25,80,93}
@attribute intermediateReward numeric
@attribute nearestCoin numeric
@attribute nearestCreature numeric
@attribute distancePassedCells numeric
@attribute saltoSeguido numeric
@attribute marioOnGround {true,false}
@attribute reward6 numeric
@attribute reward12 numeric
@attribute reward24 numeric
@attribute distance6 numeric
@attribute distance12 numeric
@attribute distance24 numeric
@attribute mode6 numeric
@attribute mode12 numeric
@attribute mode24 numeric
@attribute marioMode numeric
@attribute evaluacion numeric
@attribute DOWN {true,false}
@attribute JUMP {true,false}
@attribute LEFT {true,false}
@attribute RIGHT {true,false}
@attribute SPEED {true,false}
@attribute UP {true,false}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,11,4,2,0,false,-1,-1,-1,2,3,7,2,2,2,2,230,false,false,false,false,false,false
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,11,3,2,0,false,-1,-1,-1,2,4,7,2,2,2,2,250,false,false,false,true,false,false
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,11,11,2,0,false,-1,-1,-1,2,4,7,2,2,2,2,250,false,false,false,true,false,false
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,11,11,2,0,false,-1,-1,-1,3,4,8,2,2,2,2,280,false,false,false,true,false,false
0,0,0,0,0,0,0,0,0,0,0,0,0,-60,-60,-1,11,6,2,0,true,-1,-1,-1,3,4,8,2,2,2,2,280,false,false,false,true,false,false
0,0,0,0,0,0,0,0,80,0,0,-60,-60,-60,-60,-1,11,5,2,0,false,-1,-1,-1,3,5,8,2,2,2,2,300,false,false,false,true,false,false
0,0,0,0,0,80,0,0,-60,-60,-60,-60,-60,-60,-60,-1,11,6,2,0,true,-1,-1,-1,3,5,9,2,2,2,2,330,false,false,false,true,false,false
0,0,0,0,0,80,0,0,-60,-60,-60,-60,-60,-60,-60,-1,11,6,2,0,true,-1,-1,-1,4,5,9,2,2,2,2,330,false,false,false,true,false,false
0,0,0,0,80,0,0,0,-60,-60,-60,-60,-60,-60,-60,-1,11,5,3,0,true,-1,-1,-1,4,6,9,2,2,2,2,300,false,false,false,true,false,false
0,0,0,0,80,0,0,0,-60,-60,-60,-60,-60,-60,-60,-1,11,5,3,0,true,-1,-1,-1,4,6,9,2,2,2,2,300,false,false,false,true,false,false
0,0,0,0,80,0,0,0,-60,-60,-60,-60,-60,-60,-60,-1,11,5,3,0,true,-1,-1,-1,4,6,9,2,2,2,2,300,false,false,false,true,false,false
